gender,city,customer_segment,original_price,discount_pct,quantity,purchase_amount,purchase_hour,is_weekend,is_black_friday
Male,Houston,Returning,187.49,15,1,159.37,23,1,0
Other,Seattle,Loyal,97.81,20,2,156.5,15,0,0
Female,Los Angeles,New,30.54,5,1,29.01,19,0,0
Other,Los Angeles,New,141.56,25,3,318.51,19,0,0
Female,Seattle,Returning,101.79,20,1,81.43,13,0,0
Male,Miami,New,1910.07,40,3,3438.12,22,0,0
Female,Chicago,Returning,1668.8,25,1,1251.6,9,1,0
Other,Atlanta,Returning,31.57,60,2,25.26,23,1,0
Female,Miami,Returning,187.61,35,2,243.9,13,0,1
Male,Houston,New,112.0,20,1,89.6,15,0,0
Other,New York,New,114.0,35,1,74.1,16,1,0
Male,New York,New,72.83,10,1,65.55,10,0,1
Other,New York,New,1645.62,25,1,1234.21,8,1,0
Female,San Francisco,Returning,29.37,35,2,38.18,0,0,0
Other,Miami,Returning,1153.13,30,2,1614.38,18,1,0
Other,Atlanta,Returning,158.0,40,1,94.8,16,1,0
Female,Seattle,New,266.56,30,1,186.59,12,1,0
Female,Phoenix,New,83.03,15,1,70.58,10,0,0
Female,Atlanta,Loyal,84.03,25,4,252.08,10,0,0
Male,Houston,Returning,8.79,35,1,5.71,23,1,0
Male,Houston,Loyal,82.9,15,1,70.46,17,1,0
Male,Houston,Loyal,61.12,30,1,42.78,12,0,0
Other,New York,VIP,105.89,20,1,84.71,11,0,0
Male,San Francisco,New,155.32,35,2,201.92,23,0,0
Other,Miami,New,126.99,25,1,95.24,11,0,1
Female,San Francisco,VIP,88.46,25,2,132.68,9,1,0
Male,Seattle,Returning,44.07,25,2,66.1,16,1,0
Other,Miami,New,457.62,10,1,411.86,8,0,0
Other,Seattle,New,592.16,20,1,473.73,0,1,0
Female,Seattle,Returning,189.89,20,2,303.82,21,0,0
Male,Seattle,Loyal,200.04,50,1,100.02,0,1,0
Other,New York,Loyal,71.02,10,1,63.92,20,0,0
Other,Houston,New,1242.87,30,1,870.01,3,0,0
Female,Miami,New,87.62,25,1,65.72,3,0,0
Female,Atlanta,Loyal,294.15,40,1,176.49,17,0,0
Male,Los Angeles,Loyal,208.32,35,1,135.41,20,0,0
Female,San Francisco,New,284.38,35,1,184.85,18,1,0
Female,Los Angeles,Returning,11.07,10,1,9.96,13,1,0
Other,Los Angeles,Loyal,321.66,30,3,675.48,13,0,1
Female,Atlanta,VIP,32.41,10,1,29.17,18,0,0
Other,Chicago,VIP,220.76,60,1,88.3,2,0,0
Other,Los Angeles,VIP,16.37,15,2,27.82,9,0,0
Male,Houston,Loyal,28.06,35,1,18.24,20,1,0
Other,Phoenix,Returning,43.42,5,1,41.25,1,0,0
Female,Chicago,Loyal,175.62,20,1,140.5,5,0,0
Other,Los Angeles,New,797.02,15,1,677.47,12,0,0
Other,San Francisco,Returning,81.53,25,1,61.15,7,0,0
Other,Miami,New,50.82,25,1,38.12,21,0,0
Female,Chicago,Loyal,2280.44,35,2,2964.58,23,0,0
Female,San Francisco,New,844.97,25,2,1267.46,23,1,0
Male,Houston,Returning,62.64,50,1,31.32,0,0,0
Female,Los Angeles,Loyal,589.94,40,1,353.96,19,1,0
Other,Seattle,New,402.89,25,1,302.17,3,0,0
Male,Houston,Returning,143.99,35,2,187.18,2,0,0
Female,Phoenix,Returning,78.39,30,2,109.74,21,0,0
Other,Seattle,New,75.62,40,1,45.37,19,1,0
Other,New York,Loyal,159.63,15,2,271.38,10,0,1
Male,New York,New,2292.16,30,1,1604.51,6,0,0
Other,Atlanta,Returning,2365.63,15,1,2010.79,3,0,0
Male,Dallas,New,270.17,25,1,202.63,3,0,0
Male,Phoenix,Returning,156.8,40,1,94.08,4,0,0
Female,Seattle,Loyal,172.42,35,1,112.07,14,0,0
Other,San Francisco,Returning,966.96,20,2,1547.14,18,0,0
Male,Houston,Loyal,24.32,15,2,41.34,23,1,0
Male,Phoenix,VIP,490.4,60,1,196.16,13,0,0
Male,Miami,Returning,15.38,25,1,11.54,10,0,0
Female,Dallas,Returning,200.33,20,1,160.26,3,0,1
Male,Houston,New,36.79,25,1,27.59,4,1,0
Other,Houston,Returning,85.02,10,1,76.52,22,1,0
Female,Houston,Loyal,318.15,5,2,604.48,18,0,0
Other,San Francisco,New,67.71,35,2,88.02,5,0,0
Female,Phoenix,Returning,52.69,10,2,94.84,13,0,0
Female,New York,New,204.24,30,3,428.91,3,1,0
Female,Los Angeles,New,68.67,35,2,89.28,14,0,0
Female,Dallas,Returning,70.07,50,2,70.06,17,1,0
Female,Seattle,Returning,109.44,20,1,87.55,2,0,1
Male,Phoenix,Returning,144.85,35,1,94.15,17,0,0
Female,Phoenix,New,515.53,15,1,438.2,3,0,0
Female,Los Angeles,VIP,2271.08,35,4,5904.8,14,1,0
Other,Los Angeles,New,41.98,30,1,29.39,4,0,0
Other,Seattle,Loyal,96.59,10,1,86.93,11,0,0
Female,Houston,VIP,289.49,20,2,463.18,14,0,0
Other,Los Angeles,Loyal,209.53,60,1,83.81,4,1,0
Male,Los Angeles,VIP,1138.75,30,2,1594.24,7,1,0
Other,San Francisco,Loyal,172.67,5,1,164.04,3,1,0
Male,Houston,Returning,98.19,20,1,78.55,19,0,0
Female,San Francisco,Returning,488.99,10,2,880.18,21,0,0
Male,Phoenix,Returning,524.71,20,1,419.77,11,1,0
Other,Houston,Returning,235.0,50,1,117.5,10,0,0
Other,Los Angeles,New,178.63,40,1,107.18,9,0,0
Female,Dallas,Returning,310.77,20,2,497.24,1,0,0
Male,Seattle,VIP,97.52,15,1,82.89,10,1,0
Female,Houston,Loyal,141.73,10,4,510.24,17,0,0
Female,Houston,Returning,215.93,25,1,161.95,22,0,0
Female,Los Angeles,Loyal,91.25,30,2,127.74,21,0,1
Male,Miami,New,87.39,30,1,61.17,3,0,0
Male,Phoenix,Returning,74.82,20,1,59.86,5,0,0
Other,Los Angeles,Returning,94.67,30,1,66.27,9,0,0
Female,Phoenix,VIP,493.51,25,1,370.13,14,0,0
Other,Seattle,Returning,463.83,10,2,834.9,3,1,0
Other,Chicago,Loyal,98.2,35,1,63.83,14,0,0
Male,Dallas,New,139.67,30,1,97.77,2,1,0
Other,San Francisco,New,285.1,20,2,456.16,21,1,0
Other,San Francisco,Loyal,104.0,40,1,62.4,2,0,0
Other,Seattle,Loyal,111.73,20,2,178.76,9,1,0
Other,Los Angeles,New,544.83,30,1,381.38,8,0,1
Male,Los Angeles,New,99.33,40,1,59.6,23,0,0
Other,Los Angeles,Loyal,317.89,20,1,254.31,7,1,0
Female,Miami,Returning,84.45,60,1,33.78,12,1,0
Male,Atlanta,Returning,442.24,5,2,840.26,10,1,0
Male,Atlanta,New,306.86,30,1,214.8,12,0,0
Other,Miami,VIP,135.98,25,2,203.96,13,0,0
Other,Phoenix,New,385.98,25,1,289.48,0,0,0
Female,Atlanta,Returning,277.91,20,1,222.33,10,0,0
Female,Houston,Returning,111.43,10,1,100.29,13,0,0
Other,Houston,VIP,133.85,5,1,127.16,22,0,0
Female,Los Angeles,New,138.99,20,1,111.19,11,0,0
Female,San Francisco,New,28.21,25,3,63.48,13,1,0
Other,Dallas,VIP,272.56,20,1,218.05,21,1,0
Male,Phoenix,VIP,1135.27,25,2,1702.9,19,0,0
Female,Miami,Loyal,184.25,15,2,313.22,1,0,0
Other,New York,New,179.37,30,1,125.56,11,1,0
Male,Atlanta,New,132.79,40,1,79.67,0,0,0
Female,Chicago,Loyal,2482.61,40,1,1489.57,10,0,0
Male,Phoenix,Loyal,54.14,5,1,51.43,16,0,1
Other,Phoenix,Loyal,470.32,25,1,352.74,9,0,1
Female,Houston,Returning,57.58,20,1,46.06,6,0,0
Female,Houston,Loyal,129.71,30,1,90.8,10,0,0
Male,Chicago,Loyal,444.17,35,2,577.42,23,0,0
Female,Chicago,Loyal,157.96,25,1,118.47,22,0,0
Other,San Francisco,Loyal,456.1,50,2,456.1,5,1,0
Male,Miami,Returning,132.7,30,2,185.78,17,0,1
Other,San Francisco,New,346.64,5,1,329.31,2,0,1
Other,Houston,New,25.73,20,1,20.58,1,0,1
Female,Phoenix,Returning,56.08,35,1,36.45,19,0,0
Female,San Francisco,Loyal,211.42,30,4,591.96,13,0,0
Other,Houston,Returning,138.46,60,3,166.14,0,0,0
Male,Atlanta,Returning,61.13,35,1,39.73,8,0,0
Male,Seattle,Returning,272.75,20,2,436.4,10,0,0
Female,Chicago,Returning,678.53,15,2,1153.5,14,0,1
Other,Los Angeles,Loyal,55.63,35,2,72.32,17,0,0
Male,Miami,New,269.55,10,1,242.6,4,1,0
Other,Miami,New,21.07,40,1,12.64,0,0,0
Female,Atlanta,Loyal,223.7,25,2,335.54,3,1,0
Male,New York,Loyal,273.38,10,1,246.04,23,0,0
Female,San Francisco,Loyal,110.88,25,1,83.16,22,0,1
Other,New York,Returning,1188.64,25,2,1782.96,2,0,0
Female,New York,New,39.49,40,1,23.69,0,0,0
Female,San Francisco,Returning,17.74,40,3,31.92,5,0,0
Other,San Francisco,Returning,908.69,60,1,363.48,5,0,0
Male,Atlanta,VIP,1837.21,20,1,1469.77,3,0,1
Male,Chicago,Loyal,70.67,35,1,45.94,17,0,0
Other,New York,VIP,1701.34,10,1,1531.21,16,0,0
Female,Seattle,New,136.47,30,1,95.53,13,0,0
Female,Houston,VIP,89.97,35,1,58.48,22,1,0
Male,Phoenix,New,1521.36,25,1,1141.02,23,1,0
Male,Houston,New,119.89,15,2,203.82,6,0,0
Male,Los Angeles,Loyal,157.42,20,1,125.94,7,0,0
Other,Atlanta,Loyal,82.28,15,3,209.82,18,0,0
Female,Seattle,Loyal,195.96,50,2,195.96,4,0,0
Male,Los Angeles,Returning,118.96,35,2,154.64,15,0,0
Male,Phoenix,Returning,76.22,25,2,114.32,4,0,0
Other,Atlanta,Returning,91.57,20,1,73.26,20,0,0
Other,Miami,New,56.37,30,3,118.38,4,1,0
Other,Chicago,Loyal,240.01,15,1,204.01,23,0,0
Other,Seattle,New,208.18,50,1,104.09,21,0,1
Other,San Francisco,New,678.08,5,1,644.18,6,1,0
Male,San Francisco,Loyal,276.43,25,2,414.64,4,0,0
Other,New York,Returning,88.29,15,1,75.05,13,0,1
Female,Houston,Returning,62.09,20,1,49.67,2,0,0
Female,Atlanta,Loyal,134.24,30,1,93.97,23,1,0
Female,Dallas,New,955.3,10,3,2579.31,7,0,0
Other,Seattle,Loyal,28.07,20,2,44.92,18,0,0
Other,Los Angeles,Loyal,82.7,25,1,62.03,18,0,0
Female,Los Angeles,VIP,783.27,35,1,509.13,3,0,0
Female,Houston,VIP,148.3,15,1,126.06,4,0,0
Female,Phoenix,Returning,442.07,30,1,309.45,11,0,0
Female,Atlanta,VIP,160.2,40,1,96.12,12,1,0
Male,Los Angeles,New,135.05,20,1,108.04,18,0,0
Female,Dallas,Returning,36.5,25,1,27.38,21,0,0
Female,Phoenix,Returning,123.25,10,1,110.92,8,0,0
Other,Dallas,New,348.1,35,1,226.26,5,0,1
Male,Dallas,VIP,102.53,20,1,82.02,15,0,0
Male,Houston,Returning,125.95,5,1,119.65,19,0,0
Female,Chicago,Returning,37.04,20,1,29.63,17,0,0
Female,Atlanta,New,150.38,40,1,90.23,5,0,0
Other,Phoenix,Loyal,717.18,35,1,466.17,15,1,0
Other,Seattle,Returning,1180.19,10,1,1062.17,8,0,0
Female,Dallas,Returning,837.43,35,1,544.33,6,1,0
Male,Dallas,VIP,336.22,35,1,218.54,19,0,1
Female,Miami,Loyal,176.12,15,1,149.7,4,0,0
Male,Los Angeles,VIP,61.25,10,1,55.12,11,0,0
Female,Seattle,Loyal,448.62,10,1,403.76,1,1,0
Female,San Francisco,New,148.41,60,1,59.36,22,1,0
Other,Phoenix,New,68.86,35,1,44.76,20,0,0
Male,Chicago,Returning,185.72,30,1,130.0,0,0,0
Male,Chicago,New,96.31,15,2,163.72,6,0,1
Male,Phoenix,Loyal,515.65,30,1,360.96,19,0,1
Female,Los Angeles,Returning,139.94,20,2,223.9,17,1,0
Other,Miami,Loyal,412.45,5,1,391.83,18,1,0
Female,New York,Returning,60.68,30,1,42.48,21,0,0
Male,Seattle,Loyal,29.7,10,1,26.73,8,1,0
Other,Miami,Returning,887.3,40,1,532.38,5,0,0
Male,Miami,Loyal,1444.52,25,2,2166.78,2,0,0
Male,Miami,New,122.45,40,1,73.47,9,1,0
Female,Los Angeles,New,160.73,40,1,96.44,21,0,0
Female,Phoenix,New,575.95,15,2,979.12,2,1,0
Male,Atlanta,Loyal,1523.1,10,1,1370.79,20,0,0
Female,Phoenix,Loyal,1111.28,10,1,1000.15,20,0,0
Other,New York,Loyal,137.68,20,4,440.56,10,0,0
Other,Phoenix,New,36.05,25,1,27.04,5,0,0
Other,Miami,Returning,410.79,15,1,349.17,21,1,0
Other,San Francisco,New,435.96,25,2,653.94,16,0,0
Male,Atlanta,VIP,134.32,15,3,342.51,17,1,0
Female,New York,VIP,64.22,40,2,77.06,5,0,0
Female,Dallas,Loyal,2273.03,30,1,1591.12,7,0,0
Male,Dallas,New,98.09,20,3,235.41,19,0,0
Other,Phoenix,New,16.9,40,2,20.28,14,1,0
Other,New York,Loyal,213.74,30,1,149.62,8,0,0
Male,Phoenix,Returning,89.32,25,1,66.99,17,0,0
Other,Houston,Loyal,223.38,30,1,156.37,4,0,0
Male,Phoenix,Returning,256.09,25,1,192.07,20,0,0
Female,Dallas,New,1541.03,50,1,770.52,5,1,0
Male,Seattle,New,86.01,30,1,60.21,18,0,0
Female,Miami,Returning,52.1,20,3,125.04,19,0,0
Male,Houston,New,305.45,40,1,183.27,7,1,0
Male,Seattle,New,113.16,50,2,113.16,2,1,0
Other,Chicago,Loyal,275.0,15,3,701.25,23,0,0
Other,Phoenix,New,226.74,40,2,272.08,19,1,0
Male,Dallas,Loyal,138.79,5,1,131.85,9,0,0
Male,Houston,Loyal,51.64,25,1,38.73,20,0,0
Male,Seattle,Loyal,9.32,30,5,32.6,10,0,1
Female,Phoenix,Loyal,142.75,20,2,228.4,20,0,1
Male,Los Angeles,New,74.69,40,5,224.05,3,1,0
Other,San Francisco,Returning,512.69,30,2,717.76,5,0,0
Female,Dallas,Returning,170.83,25,2,256.24,15,0,0
Male,Houston,New,71.05,20,2,113.68,12,0,1
Other,Seattle,New,102.93,5,1,97.78,5,0,1
Male,San Francisco,Returning,317.25,10,1,285.53,3,0,0
Male,Houston,Returning,44.17,20,2,70.68,16,1,0
Male,Dallas,VIP,40.02,35,1,26.01,7,1,0
Female,Houston,Loyal,1165.89,25,2,1748.84,4,0,0
Female,Seattle,Loyal,180.38,30,1,126.27,8,0,0
Other,Houston,Returning,444.64,40,1,266.78,3,0,0
Male,Chicago,New,835.64,35,1,543.17,2,0,0
Other,New York,Returning,243.0,35,1,157.95,6,0,0
Other,Phoenix,Returning,820.01,35,2,1066.02,10,0,0
Other,Seattle,VIP,492.37,25,1,369.28,4,0,0
Male,San Francisco,Loyal,127.81,5,1,121.42,4,1,0
Other,Atlanta,Loyal,154.2,35,1,100.23,10,0,1
Male,Phoenix,New,15.92,40,1,9.55,15,0,0
Other,San Francisco,Loyal,324.62,5,2,616.78,3,0,0
Other,Miami,Returning,111.63,35,3,217.68,13,1,0
Female,Miami,VIP,65.67,60,1,26.27,8,0,0
Female,San Francisco,New,621.97,25,1,466.48,21,1,0
Other,Phoenix,New,56.69,35,1,36.85,23,1,0
Female,Dallas,New,13.75,25,3,30.93,4,0,0
Male,New York,VIP,42.37,5,1,40.25,0,0,0
Other,Los Angeles,Returning,99.79,25,1,74.84,3,0,0
Male,Seattle,VIP,158.42,10,1,142.58,16,0,0
Other,Los Angeles,VIP,73.85,15,1,62.77,3,1,0
Male,San Francisco,Returning,31.29,35,1,20.34,9,0,0
Female,Los Angeles,VIP,143.87,60,1,57.55,14,0,0
Female,Seattle,VIP,51.38,5,1,48.81,5,1,0
Female,Los Angeles,VIP,661.42,35,4,1719.68,0,1,0
Male,Seattle,New,229.13,25,1,171.85,3,0,0
Female,Seattle,Loyal,63.7,35,3,124.2,4,0,0
Male,Atlanta,New,104.2,30,1,72.94,15,0,1
Female,Seattle,New,2213.38,25,1,1660.04,19,1,0
Other,Atlanta,Returning,102.13,15,1,86.81,16,1,0
Male,San Francisco,VIP,127.97,30,1,89.58,14,0,1
Other,Phoenix,Returning,150.5,20,2,240.8,21,1,0
Female,Miami,Returning,1080.24,20,1,864.19,8,0,0
Female,Los Angeles,VIP,91.24,15,2,155.1,0,0,0
Other,Seattle,Returning,118.2,15,1,100.47,18,0,0
Female,Seattle,Loyal,17.01,20,1,13.61,15,0,1
Male,Los Angeles,Loyal,73.13,25,1,54.85,1,1,0
Female,Phoenix,New,194.03,40,1,116.42,3,0,1
Male,Los Angeles,New,35.34,20,1,28.27,1,0,0
Male,New York,Loyal,279.55,40,1,167.73,14,0,0
Male,Los Angeles,VIP,66.3,10,2,119.34,14,0,0
Male,Seattle,Returning,339.78,35,1,220.86,22,0,0
Other,Seattle,Loyal,430.55,25,1,322.91,3,0,0
Other,Phoenix,VIP,52.71,25,1,39.53,12,0,0
Female,Phoenix,New,22.35,25,3,50.28,15,0,1
Other,Los Angeles,New,187.2,20,2,299.52,9,0,0
Female,New York,Loyal,255.38,35,3,498.0,12,0,0
Other,San Francisco,New,183.18,30,1,128.23,21,0,0
Female,Los Angeles,Returning,149.89,15,2,254.82,13,0,0
Female,Los Angeles,New,202.73,10,3,547.38,21,0,0
Male,Seattle,Returning,224.67,25,1,168.5,5,0,0
Other,Atlanta,New,187.98,15,1,159.78,1,0,0
Male,Dallas,New,226.16,40,1,135.7,23,0,0
Male,Atlanta,VIP,64.54,40,5,193.6,7,1,0
Male,Atlanta,Returning,98.75,20,2,158.0,10,0,1
Female,Atlanta,New,404.42,20,1,323.54,22,1,0
Male,New York,Returning,104.72,20,1,83.78,8,0,1
Female,Seattle,Loyal,113.63,30,1,79.54,0,0,0
Female,New York,Returning,23.22,35,1,15.09,13,0,0
Female,Houston,Loyal,85.88,10,1,77.29,10,0,0
Female,San Francisco,Loyal,527.23,35,2,685.4,5,0,0
Male,Chicago,Loyal,1663.26,20,1,1330.61,11,0,0
Male,Seattle,VIP,294.78,40,1,176.87,5,0,0
Male,Dallas,Loyal,342.96,10,2,617.32,17,0,0
Other,Seattle,Returning,45.64,5,2,86.72,21,1,0
Male,Phoenix,New,322.65,20,1,258.12,5,0,1
Female,Chicago,Returning,82.87,25,1,62.15,21,1,0
Female,New York,Returning,482.19,20,2,771.5,3,0,0
Male,Dallas,Loyal,202.56,25,3,455.76,0,0,0
Other,Dallas,Returning,21.66,10,1,19.49,12,0,0
Male,Miami,New,353.73,25,1,265.3,13,1,0
Male,New York,Loyal,415.38,15,1,353.07,12,1,0
Other,Phoenix,New,70.29,35,2,91.38,6,0,0
Male,Miami,Loyal,913.36,30,1,639.35,21,1,0
Other,Chicago,Loyal,109.26,40,4,262.24,14,0,0
Other,Miami,Loyal,105.56,25,1,79.17,17,0,0
Male,Chicago,New,588.41,30,1,411.89,18,0,0
Female,New York,New,413.46,15,2,702.88,10,0,0
Male,Phoenix,Loyal,79.95,5,3,227.85,9,1,0
Other,Chicago,Loyal,148.33,40,1,89.0,14,1,0
Female,Dallas,New,1740.18,20,2,2784.28,5,0,1
Female,Miami,Returning,181.84,20,1,145.47,10,1,0
Other,Seattle,Returning,136.74,20,1,109.39,12,1,0
Other,Phoenix,New,92.46,15,1,78.59,0,0,1
Male,Los Angeles,Loyal,844.83,20,1,675.86,19,0,0
Male,New York,Returning,124.56,35,1,80.96,14,0,0
Other,Seattle,Loyal,1033.0,15,1,878.05,11,0,0
Male,New York,New,2033.59,35,3,3965.49,22,0,1
Other,Atlanta,Returning,474.98,15,1,403.73,12,1,0
Male,Atlanta,Loyal,236.42,15,1,200.96,15,0,1
Other,San Francisco,New,494.35,30,1,346.04,9,1,0
Female,Houston,VIP,337.52,25,1,253.14,2,1,0
Male,Chicago,New,1868.19,30,2,2615.46,19,0,0
Male,Atlanta,Returning,71.32,10,1,64.19,8,1,0
Other,Chicago,Returning,152.21,60,1,60.88,1,0,0
Male,Phoenix,Returning,106.28,35,1,69.08,23,1,0
Male,New York,Loyal,1086.18,30,3,2280.99,12,0,1
Other,Phoenix,New,106.2,25,1,79.65,15,1,0
Female,Phoenix,New,117.28,20,1,93.82,8,0,0
Female,San Francisco,Returning,262.64,30,1,183.85,6,0,0
Female,Miami,Loyal,190.05,30,1,133.04,8,0,1
Female,Chicago,Loyal,196.8,20,1,157.44,6,0,0
Female,New York,VIP,143.15,20,1,114.52,9,0,0
Female,Seattle,Returning,8.98,5,1,8.53,20,1,0
Other,Los Angeles,New,122.8,25,1,92.1,10,0,0
Other,Chicago,Returning,262.51,50,1,131.26,5,1,0
Male,Chicago,New,14.3,20,1,11.44,15,0,0
Other,New York,Returning,1649.19,5,2,3133.46,7,0,1
Other,Houston,New,2480.78,20,1,1984.62,20,1,0
Male,Los Angeles,Returning,225.17,20,4,720.56,17,0,0
Other,Miami,Loyal,57.86,35,4,150.44,1,0,0
Other,Houston,Returning,161.95,10,1,145.76,7,0,0
Other,Atlanta,Returning,169.72,20,2,271.56,20,1,0
Other,Miami,New,44.94,30,2,62.92,3,0,0
Other,Houston,Returning,13.22,35,1,8.59,5,1,0
Male,Houston,Returning,721.38,15,1,613.17,11,0,0
Female,San Francisco,Returning,99.69,25,1,74.77,4,0,1
Female,Miami,VIP,60.44,25,1,45.33,16,0,0
Female,Phoenix,New,276.98,5,1,263.13,8,0,0
Male,Chicago,New,167.63,25,1,125.72,18,0,0
Female,Miami,Loyal,119.95,25,1,89.96,21,1,0
Male,New York,Returning,357.07,20,1,285.66,23,0,0
Other,Atlanta,Loyal,156.52,15,2,266.08,23,0,0
Other,Dallas,New,1024.52,10,2,1844.14,5,0,0
Female,Seattle,Returning,2299.06,30,1,1609.34,21,0,0
Female,Phoenix,Returning,813.88,50,1,406.94,18,0,0
Male,New York,New,35.35,30,3,74.22,20,0,0
Other,San Francisco,Returning,62.72,35,3,122.31,14,0,0
Male,Atlanta,VIP,17.47,35,1,11.36,12,0,0
Female,Dallas,Returning,2326.24,25,1,1744.68,8,0,0
Female,Houston,Returning,396.25,20,1,317.0,15,0,0
Male,Chicago,VIP,123.68,60,2,98.94,9,0,0
Male,Houston,VIP,88.94,50,1,44.47,5,1,0
Male,Phoenix,New,1608.41,20,1,1286.73,0,0,0
Other,Los Angeles,Returning,100.9,35,1,65.59,9,0,0
Male,San Francisco,Returning,156.33,5,1,148.51,10,0,0
Female,Chicago,Loyal,18.38,30,1,12.87,3,0,1
Female,Atlanta,New,28.41,25,1,21.31,15,1,0
Other,Seattle,Returning,226.69,10,2,408.04,10,0,0
Other,San Francisco,Returning,39.21,10,1,35.29,2,0,0
Male,Phoenix,Returning,516.99,10,2,930.58,5,0,0
Male,Atlanta,Returning,55.61,25,1,41.71,8,0,0
Male,Miami,VIP,96.97,25,2,145.46,7,0,1
Other,Dallas,New,144.47,20,1,115.58,19,1,0
Other,Houston,Loyal,281.72,20,2,450.76,23,1,0
Other,Miami,Returning,1121.12,20,1,896.9,9,0,0
Other,Miami,Returning,158.39,30,1,110.87,7,0,0
Female,Miami,Returning,376.95,20,1,301.56,10,1,0
Other,Los Angeles,Loyal,164.51,25,1,123.38,5,0,0
Female,Phoenix,New,455.32,20,1,364.26,22,0,0
Male,San Francisco,Returning,269.45,25,1,202.09,8,0,0
Other,Los Angeles,Loyal,38.81,50,1,19.4,7,0,0
Female,Chicago,Returning,2030.05,40,1,1218.03,17,0,0
Other,Chicago,New,14.6,25,1,10.95,16,0,0
Other,Phoenix,New,275.69,25,2,413.54,15,0,1
Male,Seattle,New,137.35,30,1,96.14,9,1,0
Female,Houston,Returning,22.14,40,1,13.28,10,0,0
Other,Seattle,VIP,865.26,20,1,692.21,7,0,0
Female,Seattle,Loyal,196.6,25,1,147.45,5,0,1
Female,Dallas,Returning,152.17,30,1,106.52,3,0,0
Male,Miami,Returning,328.17,10,1,295.35,2,0,0
Male,Los Angeles,Returning,21.46,15,1,18.24,17,0,0
Female,Seattle,New,1076.24,35,1,699.56,10,0,0
Other,Phoenix,Loyal,94.04,5,3,268.02,19,0,0
Male,Atlanta,Loyal,385.21,40,1,231.13,3,0,0
Female,New York,Loyal,24.44,20,1,19.55,6,1,0
Male,New York,Loyal,1433.96,25,1,1075.47,20,0,0
Other,Atlanta,Returning,215.88,35,1,140.32,23,1,0
Female,Seattle,Returning,69.02,40,1,41.41,12,0,1
Other,Miami,New,45.49,25,2,68.24,10,1,0
Male,Los Angeles,Returning,259.96,60,1,103.98,4,0,0
